Tx1,Tx2,Tx3,w,S11_1,S11_2,S11_3,Freq_1,Freq_2,Freq_3
12.0,8.0,5.5,16.0,-26.297353859364435,-12.673264021562424,-8.200779503745334,3.88,5.752000000000001,7.708
12.0,8.0,5.5,16.5,-23.389965231241057,-13.744858164071523,-7.712269582100078,3.868,5.746,7.702
12.0,8.0,5.5,17.0,-18.539742281188477,-14.21073190557026,-7.366210665156101,3.904,5.764,7.708
12.0,8.0,5.5,17.5,-15.728913693732531,-16.80247033124704,-7.071221062244888,3.958,5.8420000000000005,7.78
12.0,8.0,5.5,18.0,-14.449710376095272,-18.219853287478628,-6.6590059795824175,3.964,5.848,7.78
12.0,8.0,5.5,18.5,-13.212250856908284,-20.10528447077791,-6.197558369706687,3.964,5.854,7.786
12.0,8.0,6.0,16.0,-16.239088706622503,-11.87412064967777,-6.203710791210032,3.874,5.566000000000001,7.672
12.0,8.0,6.0,16.5,-0.0609267590334926,-14.64794494878845,-12.642681494439458,3.25,3.892,5.584
12.0,8.0,6.0,17.0,-13.226055142503562,-13.390297240716908,-5.457411020494187,3.892,5.59,7.684
12.0,8.0,6.0,17.5,-12.305240433403249,-14.44515277640776,-5.159565595464025,3.904,5.602,7.69
12.0,8.0,6.0,18.0,-11.317755519570849,-15.506566488240251,-4.861301994616221,3.91,5.602,7.69
12.0,8.0,6.0,18.5,-10.466760109856374,-16.858497322902387,-4.577262573995148,3.91,5.614,7.69
12.0,8.5,3.0,16.0,-19.176228826802834,-14.352173735830211,-18.32218675004652,4.066,6.5680000000000005,8.068000000000001
12.0,8.5,3.0,16.5,-21.675560305942675,-13.430936097798376,-16.72211110783123,4.084,6.5680000000000005,8.074
12.0,8.5,3.0,17.0,-24.57309551564028,-12.72676954437054,-15.49731422024643,4.09,6.574,8.074
12.0,8.5,3.0,17.5,-28.134401839875736,-12.045208694258411,-14.176387549487636,4.096,6.574,8.074
12.0,8.5,3.0,18.0,-44.00921992332747,-11.396471689890708,-13.08869934434427,4.102,6.556,8.062000000000001
12.0,8.5,3.0,18.5,-29.66396395438405,-10.776899069535864,-12.37243663028493,4.1080000000000005,6.562,8.056000000000001
12.0,8.5,3.5,16.0,-22.939093571362715,-26.095711959689154,-16.4054607416159,4.0120000000000005,6.412,7.954
12.0,8.5,3.5,16.5,-27.7120349863387,-22.76481123087597,-15.149956580002756,4.024,6.412,7.954
12.0,8.5,3.5,17.0,-35.571854154954856,-20.58546493688048,-13.866278672957886,4.036,6.424,7.954
12.0,8.5,3.5,17.5,-37.558621168778,-20.00980737155095,-12.842939668813012,4.03,6.406000000000001,7.942
12.0,8.5,3.5,18.0,-26.615947428452564,-17.20692877317542,-11.80504516684566,4.054,6.43,7.966
12.0,8.5,3.5,18.5,-24.32611212731828,-17.136459709396725,-11.25657017462718,4.042,6.382,7.918
12.0,8.5,4.0,16.0,-27.644739279255013,-24.38261028811269,-13.9750875587937,3.952,6.256,7.858
12.0,8.5,4.0,16.5,-33.6777098569684,-27.65624666846502,-12.88226959884409,3.97,6.2620000000000005,7.864
12.0,8.5,4.0,17.0,-27.576010887256253,-33.74247653561791,-12.06151636112364,3.976,6.268000000000001,7.864
12.0,8.5,4.0,17.5,-24.27660229076246,-36.335937787551565,-11.224032468606277,3.988,6.274,7.87
12.0,8.5,4.0,18.0,-9.643274665532873e-16,-9.643274665532873e-16,-9.643274665532873e-16,2.728,2.746,2.764
12.0,8.5,4.0,18.5,-18.8260623662451,-27.50567991391597,-9.908432087943584,3.982,6.256,7.846
12.0,8.5,4.5,16.0,-35.68528782525975,-16.14501627607003,-11.684893466024231,3.892,6.064,7.756
12.0,8.5,4.5,16.5,-25.4948944010864,-17.822565724186216,-11.085765785562211,3.904,6.0760000000000005,7.756
12.0,8.5,4.5,17.0,-21.810258959971527,-20.32722911719106,-10.193600837207171,3.916,6.106,7.78
12.0,8.5,4.5,17.5,-20.676144258875432,-21.192719646827065,-9.750960514514231,3.916,6.0760000000000005,7.75
12.0,8.5,4.5,18.0,-18.407346186138454,-22.787980910863823,-9.027896551456996,3.916,6.058,7.732
12.0,8.5,4.5,18.5,-9.643274665532873e-16,-9.643274665532873e-16,-9.643274665532873e-16,2.806,2.83,2.848
12.0,8.5,5.0,16.0,-22.964442412376627,-13.967603048916269,-9.673089738543164,3.856,5.926,7.702
12.0,8.5,5.0,16.5,-20.204444597328024,-14.954040523242451,-9.02554931932379,3.862,5.932,7.702
12.0,8.5,5.0,17.0,-17.8273813170062,-16.088350021313843,-8.430752238716934,3.874,5.944,7.714
12.0,8.5,5.0,17.5,-16.177441239293845,-17.488681539073404,-7.997055106818252,3.88,5.95,7.708
12.0,8.5,5.0,18.0,-14.861112464743272,-19.16792651314713,-7.419312488451114,3.886,5.956,7.714
12.0,8.5,5.0,18.5,-13.587019809020047,-21.377653449497046,-7.038354376074327,3.898,5.962,7.714
12.0,8.5,5.5,16.0,-18.22704152276197,-12.162912103912433,-7.485355367851789,3.802,5.74,7.624
12.0,8.5,5.5,16.5,-18.142519376194645,-12.527109944667616,-6.988479249295942,3.766,5.692,7.6
12.0,8.5,5.5,17.0,-15.726488198612934,-13.20192992863661,-6.800541468570178,3.778,5.71,7.552
12.0,8.5,5.5,17.5,-14.473634641093756,-14.040337352904578,-6.298448385565582,3.796,5.722,7.576
12.0,8.5,5.5,18.0,-13.43354095687193,-15.239899658439606,-5.770826590546231,3.796,5.728,7.576
12.0,8.5,5.5,18.5,-12.19047283291191,-16.191341970365713,-5.520786147408195,3.808,5.734,7.576
12.0,8.5,6.0,16.0,-14.443595450425844,-11.11303311536208,-5.633505903510629,3.748,5.542,7.54
12.0,8.5,6.0,16.5,-12.999807155301893,-11.82689394603888,-5.33339725793578,3.754,5.554,7.546
12.0,8.5,6.0,17.0,-12.02817575619198,-12.606273148115593,-5.005279689813891,3.766,5.566000000000001,7.546
12.0,8.5,6.0,17.5,-11.05272786973218,-13.443795620524604,-4.704574787283764,3.772,5.572,7.558
12.0,8.5,6.0,18.0,-10.23053177335242,-14.47564613991439,-4.428457031447065,3.778,5.577999999999999,7.558
12.0,8.5,6.0,18.5,-9.607783761031635,-15.703442689532302,-4.252170057049748,3.778,5.577999999999999,7.552
12.0,9.0,3.0,16.0,-23.013302736757705,-21.428644077004005,-14.559385026937823,3.94,6.418,7.84
12.0,9.0,3.0,16.5,-29.238380088192528,-19.32468691937743,-13.52136854282919,3.958,6.424,7.852
12.0,9.0,3.0,17.0,-36.41710156344863,-17.668687411935867,-12.62255652737299,3.97,6.43,7.852
12.0,9.0,3.0,17.5,-32.52942260437949,-16.161476489635888,-11.806342906682628,3.976,6.43,7.858
12.0,9.0,3.0,18.0,-24.36675133852192,-15.04034128934432,-10.988787582595192,3.988,6.442,7.858
12.0,9.0,3.0,18.5,-21.54064930805636,-13.965551370630712,-10.311312736297609,3.994,6.442,7.858
12.0,9.0,3.5,16.0,-25.91092237472667,-23.37583201699175,-12.386606977582552,3.856,6.214,7.684
12.0,9.0,3.5,16.5,-35.24250227045012,-26.312350041268257,-11.894464585327704,3.868,6.184,7.684
12.0,9.0,3.5,17.0,-30.56794033772709,-30.257654460442808,-10.692471919129169,3.886,6.238,7.702
12.0,9.0,3.5,17.5,-26.204048322206354,-37.754638862343135,-10.19586770211755,3.892,6.214,7.696
12.0,9.0,3.5,18.0,-21.812473006410155,-34.0454298529771,-9.682840044094188,3.892,6.178,7.684
12.0,9.0,3.5,18.5,-19.97637860766899,-0.2913365691960628,-25.598312051232696,3.898,4.246,6.184
12.0,9.0,4.0,16.0,-34.512746613981456,-16.478330248739947,-10.954760662960473,3.82,6.082000000000001,7.636
12.0,9.0,4.0,16.5,-25.964001565628227,-17.755816287998925,-10.313713932080589,3.826,6.082000000000001,7.636
12.0,9.0,4.0,17.0,-23.52752442206675,-19.47512006070371,-9.607139930604836,3.826,6.088,7.624
12.0,9.0,4.0,17.5,-19.859833232360504,-21.46953940131203,-9.055906594957454,3.832,6.0760000000000005,7.624
12.0,9.0,4.0,18.0,-18.32514470310501,-25.08562628174879,-8.596890963007565,3.832,6.058,7.624
12.0,9.0,4.0,18.5,-16.288762080279607,-29.420550646656118,-8.444375863641017,3.85,6.022,7.606
12.0,9.0,4.5,16.0,-22.605986504332385,-14.36626928976311,-9.6639483424014,3.778,5.962,7.6
12.0,9.0,4.5,16.5,-19.83626086196391,-15.35337638097806,-8.92286033564822,3.79,5.98,7.612
12.0,9.0,4.5,17.0,-17.553658773572028,-16.62107232522303,-8.472184970017807,3.802,5.98,7.612
12.0,9.0,4.5,17.5,-15.782631827551445,-18.322938018939045,-8.020729906936822,3.808,5.98,7.612
12.0,9.0,4.5,18.0,-14.269070967006828,-20.06134901046631,-7.473652777973708,3.814,5.998,7.618
12.0,9.0,4.5,18.5,-13.280718182079871,-22.87893797660321,-7.10921139870657,3.826,5.998,7.624
12.0,9.0,5.0,16.0,-18.14627960132446,-12.41470377483554,-8.085701925705566,3.73,5.812,7.54
12.0,9.0,5.0,16.5,-16.195450546922377,-13.29414726380447,-7.56147809934693,3.742,5.824,7.546
12.0,9.0,5.0,17.0,-14.702232175583507,-14.232067818630815,-7.111065888548977,3.754,5.836,7.552
12.0,9.0,5.0,17.5,-13.41267271721829,-15.352730960226982,-6.715651808073408,3.76,5.836,7.552
12.0,9.0,5.0,18.0,-12.313352617280485,-16.64475868876511,-6.333682050655804,3.766,5.848,7.558
12.0,9.0,5.0,18.5,-11.525141184698732,-18.06616179941658,-6.040927435076658,3.766,5.848,7.558
12.0,9.0,5.5,16.0,-14.851929317995058,-11.206013039635913,-6.471645439597783,3.676,5.644,7.474
12.0,9.0,5.5,16.5,-13.562944006566504,-11.92238841593974,-6.138433082031524,3.688,5.656000000000001,7.474
12.0,9.0,5.5,17.0,-12.36256411812873,-12.74339999943916,-5.7778629879745855,3.7,5.668,7.48
12.0,9.0,5.5,17.5,-11.521995047361438,-13.638961653636343,-5.392885894258056,3.706,5.68,7.486
12.0,9.0,5.5,18.0,-10.518409302889832,-14.689756072926931,-5.115442857892164,3.706,5.68,7.486
12.0,9.0,5.5,18.5,-10.030070483203172,-15.40601474870004,-4.86392097664706,3.7,5.668,7.468
12.0,9.0,6.0,16.0,-12.326786494935922,-10.482358175998526,-4.949716616989539,3.628,5.476,7.408
12.0,9.0,6.0,16.5,-11.297452544013264,-11.13347468283212,-4.657252211403552,3.64,5.488,7.414
12.0,9.0,6.0,17.0,-10.428862987769094,-11.844678350878947,-4.396809417698449,3.646,5.5,7.414
12.0,9.0,6.0,17.5,-9.628519468958451,-12.648343785365071,-4.15226222488817,3.652,5.506,7.42
12.0,9.0,6.0,18.0,-8.949096680647163,-13.545477922234676,-3.922310770369753,3.658,5.5120000000000005,7.42
12.0,9.0,6.0,18.5,-8.370773225397608,-14.572664610214762,-3.726804527591649,3.658,5.518000000000001,7.42
12.0,9.5,3.0,16.0,-38.361826609392615,-25.273058326891743,-11.696863503788965,3.778,6.172000000000001,7.546
12.0,9.5,3.0,16.5,-35.57492602706736,-38.90472091805604,-12.554965599283223,3.79,6.16,7.546
12.0,9.5,3.0,17.0,-23.796721956256786,-31.9454271625736,-10.206437898747694,3.808,6.172000000000001,7.552
12.0,9.5,3.0,17.5,-22.668871830255107,-35.42762036170893,-9.4747145162762,3.82,6.208,7.57
12.0,9.5,3.0,18.0,-19.322684975964805,-29.961106940966857,-8.556453645036283,3.826,6.208,7.552
12.0,9.5,3.0,18.5,-18.015723783177425,-23.836585702941896,-8.355960071690381,3.838,6.220000000000001,7.576
12.0,9.5,3.5,16.0,-27.732137792195864,-17.25915123955638,-10.043531851970332,3.73,6.052,7.474
12.0,9.5,3.5,16.5,-1.9286549331065747e-15,-9.643274665532873e-16,-1.9286549331065747e-15,2.722,2.734,2.752
12.0,9.5,3.5,17.0,-21.542389090635726,-21.688874249384853,-9.200558812709447,3.772,6.082000000000001,7.504
12.0,9.5,3.5,17.5,-18.051714482113944,-22.378290365066874,-8.23206974714634,3.772,6.064,7.498
12.0,9.5,3.5,18.0,-16.304440448916115,-25.774953310698702,-7.80937225721151,3.76,6.0760000000000005,7.492
12.0,9.5,3.5,18.5,-15.036266459821167,-31.98988106885412,-7.487601169344629,3.778,6.082000000000001,7.504
12.0,9.5,4.0,16.0,-20.62525558842267,-14.721905740584534,-8.953992918732089,3.706,5.962,7.48
12.0,9.5,4.0,16.5,-18.303631721933304,-15.70395678229239,-8.361816033797819,3.718,5.98,7.474
