Tx1,Tx2,Tx3,w,S11_1,S11_2,S11_3,Freq_1,Freq_2,Freq_3,Absorption_1,Absorption_2,Absorption_3
12.0,7.5,5.5,18.5,-15.1182946581923,-23.757161701014947,-6.658800986324316,4.12,5.896,7.93,0.9692269505879483,0.9957899831901638,0.7841659791837176
12.0,7.5,6.0,16.0,-1.3984310703078526,-7.821595373017768,-6.613959717132021,2.536,4.972,7.804,0.2753022833377937,0.8348644935537152,0.7819259303867132
12.0,7.5,6.0,16.5,-1.2729815790798198,-8.234879190942921,-6.058783547615949,2.53,4.978,7.786,0.25406352813653477,0.8498545828405535,0.7521883922940958
12.0,7.5,6.0,17.0,-1.174371801062585,-8.738793293570946,-5.779565888769861,2.542,5.008,7.798,0.23693274055287306,0.8663033052877409,0.7357327100098157
12.0,7.5,6.0,17.5,-1.1341405374514166,-9.23714988183294,-5.287019674475992,2.548,5.026,7.816,0.22983115541418608,0.8807975966194954,0.703995691458766
12.0,7.5,6.0,18.0,-1.0985057497410369,-9.825077318991914,-4.917575729534638,2.542,5.026,7.804,0.22348575885847777,0.8958900427607784,0.6777132677507143
12.0,7.5,6.0,18.5,-1.001267628842242,-10.417198911173156,-4.545231762357267,2.554,5.0440000000000005,7.822,0.2059035818164946,0.9091593759831351,0.6488628145091184
12.0,8.0,3.0,16.0,-16.272378100705463,-9.817800029395986,-22.23639744485436,4.192,6.706,8.308,0.976408139587684,0.8957154438500764,0.9940246925584838
12.0,8.0,3.0,16.5,-17.96869617625475,-9.381588880760926,-19.888382999045888,4.204,6.718,8.314,0.984036416715667,0.8846968659692849,0.9897396612348206
12.0,8.0,3.0,17.0,-19.58221203154049,-8.975344523186097,-18.09302636236881,4.21,6.7,8.29,0.9889902160462276,0.8733907174851168,0.9844869438740805
12.0,8.0,3.0,17.5,-21.522657706710003,-8.61490718582589,-16.6625999370469,4.21,6.7,8.278,0.992957380427861,0.862434579058418,0.9784354695441775
12.0,8.0,3.0,18.0,-25.54710073529981,-8.123928354036288,-15.065851925856633,4.228,6.712,8.302,0.9972120182506009,0.8459693441557747,0.9688531015141528
12.0,8.0,3.0,18.5,-9.643274665532873e-16,-9.643274665532873e-16,-9.643274665532873e-16,2.842,2.872,2.902,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
12.0,8.0,3.5,16.0,-18.134343779154925,-17.085305219164674,-20.29387732377019,4.12,6.526,8.14,0.9846338304072028,0.9804354673508207,0.9906542907100275
12.0,8.0,3.5,16.5,-20.266729593188654,-16.281755877512808,-18.04579652862609,4.126,6.526,8.14,0.9905956877462567,0.9764590268358826,0.9843173176084602
